"id","view_threshold","bonus_amount","created_at","updated_at"
"1dffd435-b929-4897-990e-d7af103cc2a6","750000","750","""2026-01-16T16:54:36.141Z""","""2026-01-16T16:54:36.141Z"""
"25ef9307-8422-45be-89be-288e37edc2a1","300000","300","""2026-01-16T16:54:25.767Z""","""2026-01-16T16:54:25.767Z"""
"29e0f632-d3c0-4d63-b949-55f94f3566b5","10000","10","""2026-01-16T16:53:41.049Z""","""2026-01-16T16:53:41.049Z"""
"4be69ffa-2828-4adb-8899-db1b6d98948a","1000000","1000","""2026-01-16T06:34:25.074Z""","""2026-01-16T06:34:25.074Z"""
"60622834-ade4-427d-8dd0-6bae8ca1f4a3","500000","350","""2026-01-16T06:34:25.048Z""","""2026-01-16T06:34:25.048Z"""
"68982ef3-3454-448b-a204-ccaf0fa53b4f","30000","30","""2026-01-16T16:53:53.505Z""","""2026-01-16T16:53:53.505Z"""
"6f2dde1b-adbd-4021-88c5-100afa95c47c","100000","100","""2026-01-16T16:54:17.197Z""","""2026-01-16T16:54:17.197Z"""
"75685605-8293-4f7a-9af0-0fadff0da5eb","50000","50","""2026-01-16T16:54:02.190Z""","""2026-01-16T16:54:02.190Z"""
